Date,Source,Pred_Low,Pred_High,RangeWidth,RangeMid,Market_High,Market_Low,Full_Hit,High_Miss,Low_Miss,Both_Miss,High_Error,Low_Error,Abs_High_Error,Abs_Low_Error,Total_Error,High_Overshoot,Low_Overshoot
2024-11-29,bloomberg_nifty50_3year.csv,25904.0,26844.0,940.0,26374.0,24188.45,23927.15,False,False,True,False,-2655.5499999999993,1976.8499999999985,2655.5499999999993,1976.8499999999985,4632.399999999998,0,1976.8499999999985
2024-11-29,financialexpress_nifty50_3year.csv,25829.0,26896.0,1067.0,26362.5,24188.45,23927.15,False,False,True,False,-2707.5499999999993,1901.8499999999985,2707.5499999999993,1901.8499999999985,4609.399999999998,0,1901.8499999999985
2024-11-29,economictimeslive_nifty50_3year.csv,25841.0,26898.0,1057.0,26369.5,24188.45,23927.15,False,False,True,False,-2709.5499999999993,1913.8499999999985,2709.5499999999993,1913.8499999999985,4623.399999999998,0,1913.8499999999985
2024-11-29,indiatodaybusiness_nifty50_3year.csv,25944.0,26859.0,915.0,26401.5,24188.45,23927.15,False,False,True,False,-2670.5499999999993,2016.8499999999985,2670.5499999999993,2016.8499999999985,4687.399999999998,0,2016.8499999999985
2024-11-29,timesnowbusiness_nifty50_3year.csv,25944.0,26966.0,1022.0,26455.0,24188.45,23927.15,False,False,True,False,-2777.5499999999993,2016.8499999999985,2777.5499999999993,2016.8499999999985,4794.399999999998,0,2016.8499999999985
2024-11-29,cnbc_nifty50_3year.csv,25887.0,26884.0,997.0,26385.5,24188.45,23927.15,False,False,True,False,-2695.5499999999993,1959.8499999999985,2695.5499999999993,1959.8499999999985,4655.399999999998,0,1959.8499999999985
2024-11-29,moneycontrol_nifty50_3year.csv,25803.0,26930.0,1127.0,26366.5,24188.45,23927.15,False,False,True,False,-2741.5499999999993,1875.8499999999985,2741.5499999999993,1875.8499999999985,4617.399999999998,0,1875.8499999999985
2024-11-29,ndtvprofit_nifty50_3year.csv,25843.0,26831.0,988.0,26337.0,24188.45,23927.15,False,False,True,False,-2642.5499999999993,1915.8499999999985,2642.5499999999993,1915.8499999999985,4558.399999999998,0,1915.8499999999985
2024-11-29,mint_nifty50_3year.csv,25801.0,26947.0,1146.0,26374.0,24188.45,23927.15,False,False,True,False,-2758.5499999999993,1873.8499999999985,2758.5499999999993,1873.8499999999985,4632.399999999998,0,1873.8499999999985
2024-11-29,etnow_nifty50_3year.csv,25841.0,26827.0,986.0,26334.0,24188.45,23927.15,False,False,True,False,-2638.5499999999993,1913.8499999999985,2638.5499999999993,1913.8499999999985,4552.399999999998,0,1913.8499999999985
2024-12-02,ndtvprofit_nifty50_3year.csv,25881.0,26997.0,1116.0,26439.0,24301.7,24008.65,False,False,True,False,-2695.2999999999993,1872.3499999999985,2695.2999999999993,1872.3499999999985,4567.649999999998,0,1872.3499999999985
2024-12-02,bloomberg_nifty50_3year.csv,25994.0,26862.0,868.0,26428.0,24301.7,24008.65,False,False,True,False,-2560.2999999999993,1985.3499999999985,2560.2999999999993,1985.3499999999985,4545.649999999998,0,1985.3499999999985
2024-12-02,financialexpress_nifty50_3year.csv,25956.0,26903.0,947.0,26429.5,24301.7,24008.65,False,False,True,False,-2601.2999999999993,1947.3499999999985,2601.2999999999993,1947.3499999999985,4548.649999999998,0,1947.3499999999985
2024-12-02,etnow_nifty50_3year.csv,25913.0,26989.0,1076.0,26451.0,24301.7,24008.65,False,False,True,False,-2687.2999999999993,1904.3499999999985,2687.2999999999993,1904.3499999999985,4591.649999999998,0,1904.3499999999985
2024-12-02,moneycontrol_nifty50_3year.csv,25865.0,26958.0,1093.0,26411.5,24301.7,24008.65,False,False,True,False,-2656.2999999999993,1856.3499999999985,2656.2999999999993,1856.3499999999985,4512.649999999998,0,1856.3499999999985
2024-12-02,indiatodaybusiness_nifty50_3year.csv,25987.0,26861.0,874.0,26424.0,24301.7,24008.65,False,False,True,False,-2559.2999999999993,1978.3499999999985,2559.2999999999993,1978.3499999999985,4537.649999999998,0,1978.3499999999985
2024-12-02,mint_nifty50_3year.csv,25892.0,26845.0,953.0,26368.5,24301.7,24008.65,False,False,True,False,-2543.2999999999993,1883.3499999999985,2543.2999999999993,1883.3499999999985,4426.649999999998,0,1883.3499999999985
2024-12-02,economictimeslive_nifty50_3year.csv,25861.0,26815.0,954.0,26338.0,24301.7,24008.65,False,False,True,False,-2513.2999999999993,1852.3499999999985,2513.2999999999993,1852.3499999999985,4365.649999999998,0,1852.3499999999985
