Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range
2024-11-29,Friday,November,9:00 AM - MARKET OPEN,India Today Business,BUY,25546.0,26473.94,25119.31,1:2.17,3.63%,STRONG BULLISH,Head & Shoulders | Downside Risk,25944,26859,UPSIDE: 174 points,"Chemical sector focus | Atul, Bayer gains on exports",25944 - 26859
2024-12-02,Monday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,25755.2,26292.3,25326.42,1:1.25,2.09%,NEUTRAL,Double Bottom | Reversal Expected,25987,26861,UPSIDE: 134 points,"FMCG holding support | ITC, HUL steady amid volatility",25987 - 26861
2024-12-03,Tuesday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,25812.4,24688.86,26180.93,1:3.05,4.35%,BULLISH,Bollinger Bands Squeeze | Volatility Expected,25891,26815,DOWNSIDE: 71 points,Q3 earnings season | Corporate profits robust,25891 - 26815
2024-12-04,Wednesday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,25763.6,24915.83,26240.76,1:1.78,3.29%,NEUTRAL,Higher High-Higher Low | Bull Run Continues,25985,26991,DOWNSIDE: 150 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25985 - 26991
2024-12-05,Thursday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,25759.8,24487.33,26033.84,1:4.64,4.94%,STRONG BULLISH,Head & Shoulders | Downside Risk,25811,26820,DOWNSIDE: 133 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25811 - 26820
2024-12-06,Friday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,26222.0,27480.91,25765.44,1:2.76,4.8%,STRONG BULLISH,Moving Average Crossover | Trend Change,25944,26831,UPSIDE: 64 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25944 - 26831
2024-12-09,Monday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,25725.2,27001.26,25219.09,1:2.52,4.96%,MODERATELY BULLISH,Bullish Engulfing | Support at 26000,25979,26884,UPSIDE: 76 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25979 - 26884
2024-12-10,Tuesday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,26332.4,27603.69,25918.65,1:3.07,4.83%,NEUTRAL/BULLISH,Triangle Breakout | Directional Move,25876,26860,UPSIDE: 67 points,FII flows remain positive | Foreign buying continues,25876 - 26860
2024-12-11,Wednesday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,25856.6,25113.22,26311.34,1:1.63,2.88%,MODERATELY BULLISH,Moving Average Crossover | Trend Change,25837,26879,DOWNSIDE: 120 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25837 - 26879
2024-12-12,Thursday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,26091.8,24936.69,26374.67,1:4.08,4.43%,NEUTRAL,Bearish Divergence | Profit Taking,25960,26801,DOWNSIDE: 99 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25960 - 26801
2024-12-13,Friday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,25660.0,25038.35,26092.34,1:1.44,2.42%,BULLISH,Breakout above 26500 | Momentum Building,25845,26843,DOWNSIDE: 165 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25845 - 26843
2024-12-16,Monday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,26139.2,25385.26,26486.16,1:2.17,2.88%,STRONG BULLISH,Double Bottom | Reversal Expected,25998,26931,DOWNSIDE: 65 points,Telecom strength | Bharti Airtel gains on tariff hikes,25998 - 26931
2024-12-17,Tuesday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,26244.4,26947.98,25835.87,1:1.72,2.68%,MODERATELY BULLISH,Support Breach | Watch 25800,25849,26855,UPSIDE: 111 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25849 - 26855
2024-12-18,Wednesday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,25723.6,24630.54,26106.68,1:2.85,4.25%,NEUTRAL/BULLISH,Head & Shoulders | Downside Risk,25801,26939,DOWNSIDE: 137 points,Q3 earnings season | Corporate profits robust,25801 - 26939
2024-12-19,Thursday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,25925.8,26563.72,25490.71,1:1.47,2.46%,NEUTRAL/BEARISH,Triangle Breakout | Directional Move,25833,26920,UPSIDE: 69 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25833 - 26920
