Date,Best_Source,Best_Distance,Best_WithinRange
2024-11-29,etnow_nifty50_3year.csv,4552.399999999998,False
2024-12-02,economictimeslive_nifty50_3year.csv,4365.649999999998,False
2024-12-03,mint_nifty50_3year.csv,3918.6500000000015,False
2024-12-04,bloomberg_nifty50_3year.csv,3737.5,False
2024-12-05,financialexpress_nifty50_3year.csv,3451.7000000000007,False
2024-12-06,timesnowbusiness_nifty50_3year.csv,3348.4500000000007,False
2024-12-09,etnow_nifty50_3year.csv,3341.9500000000007,False
2024-12-10,etnow_nifty50_3year.csv,3517.5499999999993,False
2024-12-11,moneycontrol_nifty50_3year.csv,3367.4000000000015,False
2024-12-12,bloomberg_nifty50_3year.csv,3458.7999999999993,False
2024-12-13,ndtvprofit_nifty50_3year.csv,3677.9000000000015,False
2024-12-16,bloomberg_nifty50_3year.csv,3266.0,False
2024-12-17,indiatodaybusiness_nifty50_3year.csv,3776.4500000000007,False
2024-12-18,cnbc_nifty50_3year.csv,4182.700000000001,False
2024-12-19,etnow_nifty50_3year.csv,4799.799999999999,False
2024-12-20,bloomberg_nifty50_3year.csv,5016.850000000002,False
2024-12-23,ndtvprofit_nifty50_3year.csv,5200.25,False
2024-12-24,economictimeslive_nifty50_3year.csv,5188.199999999997,False
2024-12-26,etnow_nifty50_3year.csv,5144.9000000000015,False
2024-12-27,bloomberg_nifty50_3year.csv,4903.550000000003,False
2024-12-30,timesnowbusiness_nifty50_3year.csv,5177.350000000002,False
2024-12-31,bloomberg_nifty50_3year.csv,5553.700000000001,False
2025-01-01,mint_nifty50_3year.csv,5358.4000000000015,False
2025-01-02,economictimeslive_nifty50_3year.csv,4670.75,False
2025-01-03,bloomberg_nifty50_3year.csv,4534.549999999999,False
2025-01-06,economictimeslive_nifty50_3year.csv,4982.149999999998,False
2025-01-07,economictimeslive_nifty50_3year.csv,5239.0,False
2025-01-08,mint_nifty50_3year.csv,5502.0,False
2025-01-09,cnbc_nifty50_3year.csv,5568.450000000001,False
2025-01-10,timesnowbusiness_nifty50_3year.csv,5745.050000000003,False
2025-01-13,ndtvprofit_nifty50_3year.csv,6325.799999999999,False
2025-01-14,cnbc_nifty50_3year.csv,6266.899999999998,False
2025-01-15,ndtvprofit_nifty50_3year.csv,6287.899999999998,False
2025-01-16,bloomberg_nifty50_3year.csv,6006.299999999999,False
2025-01-17,financialexpress_nifty50_3year.csv,6214.550000000003,False
2025-01-20,cnbc_nifty50_3year.csv,6125.25,False
2025-01-21,timesnowbusiness_nifty50_3year.csv,6257.850000000002,False
2025-01-22,timesnowbusiness_nifty50_3year.csv,6616.1500000000015,False
2025-01-23,indiatodaybusiness_nifty50_3year.csv,6314.549999999999,False
2025-01-24,ndtvprofit_nifty50_3year.csv,6261.700000000001,False
2025-01-27,timesnowbusiness_nifty50_3year.csv,6807.649999999998,False
2025-01-28,bloomberg_nifty50_3year.csv,6674.399999999998,False
2025-01-29,cnbc_nifty50_3year.csv,6450.1500000000015,False
2025-01-30,financialexpress_nifty50_3year.csv,6185.75,False
2025-01-31,moneycontrol_nifty50_3year.csv,5855.799999999999,False
2025-02-01,,,
2025-02-03,ndtvprofit_nifty50_3year.csv,6098.4000000000015,False
2025-02-04,ndtvprofit_nifty50_3year.csv,5499.0999999999985,False
2025-02-05,indiatodaybusiness_nifty50_3year.csv,5178.25,False
2025-02-06,economictimeslive_nifty50_3year.csv,5376.200000000001,False
2025-02-07,cnbc_nifty50_3year.csv,5592.299999999999,False
2025-02-10,financialexpress_nifty50_3year.csv,5820.100000000002,False
2025-02-11,timesnowbusiness_nifty50_3year.csv,6277.299999999999,False
2025-02-12,cnbc_nifty50_3year.csv,6723.950000000001,False
2025-02-13,moneycontrol_nifty50_3year.csv,6408.299999999999,False
2025-02-14,ndtvprofit_nifty50_3year.csv,6708.450000000001,False
2025-02-17,mint_nifty50_3year.csv,6978.3499999999985,False
2025-02-18,indiatodaybusiness_nifty50_3year.csv,6909.0,False
2025-02-19,bloomberg_nifty50_3year.csv,6792.200000000001,False
2025-02-20,economictimeslive_nifty50_3year.csv,6938.4000000000015,False
2025-02-21,mint_nifty50_3year.csv,7010.700000000001,False
2025-02-24,moneycontrol_nifty50_3year.csv,7507.1500000000015,False
2025-02-25,financialexpress_nifty50_3year.csv,7503.799999999999,False
2025-02-26,,,
2025-02-27,mint_nifty50_3year.csv,7558.299999999999,False
2025-02-28,financialexpress_nifty50_3year.csv,8111.800000000003,False
2025-03-03,indiatodaybusiness_nifty50_3year.csv,8418.75,False
2025-03-04,ndtvprofit_nifty50_3year.csv,8632.350000000002,False
