Date,Market_High,Market_Low,bloomberg_nifty50_3year.csv_Support,bloomberg_nifty50_3year.csv_Resistance,bloomberg_nifty50_3year.csv_Distance,cnbc_nifty50_3year.csv_Support,cnbc_nifty50_3year.csv_Resistance,cnbc_nifty50_3year.csv_Distance,economictimeslive_nifty50_3year.csv_Support,economictimeslive_nifty50_3year.csv_Resistance,economictimeslive_nifty50_3year.csv_Distance,etnow_nifty50_3year.csv_Support,etnow_nifty50_3year.csv_Resistance,etnow_nifty50_3year.csv_Distance,financialexpress_nifty50_3year.csv_Support,financialexpress_nifty50_3year.csv_Resistance,financialexpress_nifty50_3year.csv_Distance,indiatodaybusiness_nifty50_3year.csv_Support,indiatodaybusiness_nifty50_3year.csv_Resistance,indiatodaybusiness_nifty50_3year.csv_Distance,mint_nifty50_3year.csv_Support,mint_nifty50_3year.csv_Resistance,mint_nifty50_3year.csv_Distance,moneycontrol_nifty50_3year.csv_Support,moneycontrol_nifty50_3year.csv_Resistance,moneycontrol_nifty50_3year.csv_Distance,ndtvprofit_nifty50_3year.csv_Support,ndtvprofit_nifty50_3year.csv_Resistance,ndtvprofit_nifty50_3year.csv_Distance,timesnowbusiness_nifty50_3year.csv_Support,timesnowbusiness_nifty50_3year.csv_Resistance,timesnowbusiness_nifty50_3year.csv_Distance,Best_Source,Best_Distance
2024-11-29,24188.45,23927.15,25904.0,26844.0,4632.399999999998,25887.0,26884.0,4655.399999999998,25841.0,26898.0,4623.399999999998,25841.0,26827.0,4552.399999999998,25829.0,26896.0,4609.399999999998,25944.0,26859.0,4687.399999999998,25801.0,26947.0,4632.399999999998,25803.0,26930.0,4617.399999999998,25843.0,26831.0,4558.399999999998,25944.0,26966.0,4794.399999999998,etnow_nifty50_3year.csv,4552.399999999998
2024-12-02,24301.7,24008.65,25994.0,26862.0,4545.649999999998,25961.0,26881.0,4531.649999999998,25861.0,26815.0,4365.649999999998,25913.0,26989.0,4591.649999999998,25956.0,26903.0,4548.649999999998,25987.0,26861.0,4537.649999999998,25892.0,26845.0,4426.649999999998,25865.0,26958.0,4512.649999999998,25881.0,26997.0,4567.649999999998,25905.0,26949.0,4543.649999999998,economictimeslive_nifty50_3year.csv,4365.649999999998
2024-12-03,24481.35,24280.0,25849.0,26833.0,3920.6500000000015,25982.0,26984.0,4204.6500000000015,25879.0,26989.0,4106.6500000000015,25918.0,26838.0,3994.6500000000015,25982.0,26924.0,4144.6500000000015,25891.0,26815.0,3944.6500000000015,25822.0,26858.0,3918.6500000000015,25995.0,26982.0,4215.6500000000015,25955.0,26808.0,4001.6500000000015,25988.0,26901.0,4127.6500000000015,mint_nifty50_3year.csv,3918.6500000000015
2024-12-04,24573.2,24366.3,25858.0,26819.0,3737.5,25890.0,26805.0,3755.5,25964.0,26802.0,3826.5,25993.0,26997.0,4050.5,25907.0,26811.0,3778.5,25985.0,26991.0,4036.5,25852.0,26977.0,3889.5,25943.0,26905.0,3908.5,25906.0,26800.0,3766.5,25879.0,26958.0,3897.5,bloomberg_nifty50_3year.csv,3737.5
2024-12-05,24857.75,24295.55,25933.0,26892.0,3671.7000000000007,25870.0,26965.0,3681.7000000000007,25975.0,26838.0,3659.7000000000007,25966.0,26971.0,3783.7000000000007,25800.0,26805.0,3451.7000000000007,25811.0,26820.0,3477.7000000000007,25990.0,26924.0,3760.7000000000007,25802.0,26898.0,3546.7000000000007,25865.0,26806.0,3517.7000000000007,25917.0,26834.0,3597.7000000000007,financialexpress_nifty50_3year.csv,3451.7000000000007
2024-12-06,24751.05,24620.5,25930.0,26966.0,3524.4500000000007,25971.0,26812.0,3411.4500000000007,25987.0,26993.0,3608.4500000000007,25947.0,26851.0,3426.4500000000007,25973.0,26811.0,3412.4500000000007,25944.0,26831.0,3403.4500000000007,25935.0,26862.0,3425.4500000000007,25892.0,26956.0,3476.4500000000007,25819.0,26972.0,3419.4500000000007,25902.0,26818.0,3348.4500000000007,timesnowbusiness_nifty50_3year.csv,3348.4500000000007
2024-12-09,24705.0,24580.05,25896.0,26809.0,3419.9500000000007,25835.0,26982.0,3531.9500000000007,25943.0,26811.0,3468.9500000000007,25803.0,26824.0,3341.9500000000007,25817.0,26854.0,3385.9500000000007,25979.0,26884.0,3577.9500000000007,25827.0,26819.0,3360.9500000000007,25903.0,26929.0,3546.9500000000007,25965.0,26993.0,3672.9500000000007,25805.0,26980.0,3499.9500000000007,etnow_nifty50_3year.csv,3341.9500000000007
2024-12-10,24677.8,24510.65,25933.0,26820.0,3564.5499999999993,25971.0,26881.0,3663.5499999999993,25981.0,26813.0,3605.5499999999993,25850.0,26856.0,3517.5499999999993,25864.0,26970.0,3645.5499999999993,25876.0,26860.0,3547.5499999999993,25951.0,26806.0,3568.5499999999993,25926.0,26973.0,3710.5499999999993,25948.0,26977.0,3736.5499999999993,25928.0,26978.0,3717.5499999999993,etnow_nifty50_3year.csv,3517.5499999999993
2024-12-11,24691.75,24583.85,25927.0,26901.0,3552.4000000000015,26000.0,26813.0,3537.4000000000015,25941.0,26933.0,3598.4000000000015,25856.0,26986.0,3566.4000000000015,25897.0,26888.0,3509.4000000000015,25837.0,26879.0,3440.4000000000015,25819.0,26877.0,3420.4000000000015,25832.0,26811.0,3367.4000000000015,25990.0,26885.0,3599.4000000000015,25836.0,26887.0,3447.4000000000015,moneycontrol_nifty50_3year.csv,3367.4000000000015
2024-12-12,24675.25,24527.95,25835.0,26827.0,3458.7999999999993,25874.0,26939.0,3609.7999999999993,25872.0,26927.0,3595.7999999999993,25869.0,26969.0,3634.7999999999993,25974.0,26989.0,3759.7999999999993,25960.0,26801.0,3557.7999999999993,25875.0,26956.0,3627.7999999999993,25832.0,27000.0,3628.7999999999993,25920.0,26964.0,3680.7999999999993,25892.0,26815.0,3503.7999999999993,bloomberg_nifty50_3year.csv,3458.7999999999993
2024-12-13,24792.3,24180.8,25922.0,26879.0,3827.9000000000015,25964.0,26932.0,3922.9000000000015,25893.0,26806.0,3725.9000000000015,25970.0,26873.0,3869.9000000000015,25868.0,26840.0,3734.9000000000015,25845.0,26843.0,3714.9000000000015,25910.0,26816.0,3752.9000000000015,25981.0,26975.0,3982.9000000000015,25820.0,26831.0,3677.9000000000015,25899.0,26829.0,3754.9000000000015,ndtvprofit_nifty50_3year.csv,3677.9000000000015
2024-12-16,24781.25,24601.75,25805.0,26844.0,3266.0,25948.0,26818.0,3383.0,25989.0,26800.0,3406.0,25956.0,26943.0,3516.0,25885.0,26834.0,3336.0,25998.0,26931.0,3546.0,25949.0,26926.0,3492.0,25911.0,26957.0,3485.0,25834.0,26914.0,3365.0,25856.0,26890.0,3363.0,bloomberg_nifty50_3year.csv,3266.0
2024-12-17,24624.1,24303.45,25919.0,26934.0,3925.4500000000007,25951.0,26839.0,3862.4500000000007,25975.0,26933.0,3980.4500000000007,25824.0,26896.0,3792.4500000000007,25923.0,26874.0,3869.4500000000007,25849.0,26855.0,3776.4500000000007,25920.0,26978.0,3970.4500000000007,25973.0,26801.0,3846.4500000000007,25969.0,26836.0,3877.4500000000007,25862.0,26927.0,3861.4500000000007,indiatodaybusiness_nifty50_3year.csv,3776.4500000000007
2024-12-18,24394.45,24149.85,25996.0,26800.0,4251.700000000001,25846.0,26881.0,4182.700000000001,25877.0,26862.0,4194.700000000001,25835.0,26893.0,4183.700000000001,25918.0,26893.0,4266.700000000001,25801.0,26939.0,4195.700000000001,25975.0,26901.0,4331.700000000001,25936.0,26912.0,4303.700000000001,25974.0,26847.0,4276.700000000001,25873.0,26977.0,4305.700000000001,cnbc_nifty50_3year.csv,4182.700000000001
2024-12-19,24004.9,23870.3,25889.0,26987.0,5000.799999999999,25980.0,26943.0,5047.799999999999,25947.0,26884.0,4955.799999999999,25853.0,26822.0,4799.799999999999,25878.0,26817.0,4819.799999999999,25833.0,26920.0,4877.799999999999,25957.0,26839.0,4920.799999999999,25995.0,26822.0,4941.799999999999,25947.0,26826.0,4897.799999999999,25865.0,26949.0,4938.799999999999,etnow_nifty50_3year.csv,4799.799999999999
2024-12-20,24065.8,23537.35,25804.0,26816.0,5016.850000000002,25818.0,26826.0,5040.850000000002,25998.0,26832.0,5226.850000000002,25857.0,26981.0,5234.850000000002,25823.0,26942.0,5161.850000000002,25859.0,26966.0,5221.850000000002,25961.0,26950.0,5307.850000000002,25953.0,26862.0,5211.850000000002,25972.0,26977.0,5345.850000000002,25809.0,26990.0,5195.850000000002,bloomberg_nifty50_3year.csv,5016.850000000002
2024-12-23,23869.55,23647.2,25944.0,26844.0,5271.25,25895.0,26927.0,5305.25,25902.0,26913.0,5298.25,25860.0,26903.0,5246.25,25834.0,26930.0,5247.25,25931.0,26911.0,5325.25,25875.0,26913.0,5271.25,25835.0,26950.0,5268.25,25815.0,26902.0,5200.25,25973.0,26989.0,5445.25,ndtvprofit_nifty50_3year.csv,5200.25
2024-12-24,23867.65,23685.15,25899.0,26985.0,5331.199999999997,25885.0,26870.0,5202.199999999997,25896.0,26845.0,5188.199999999997,25915.0,26956.0,5318.199999999997,25887.0,26967.0,5301.199999999997,25853.0,26892.0,5192.199999999997,25946.0,26948.0,5341.199999999997,25980.0,26859.0,5286.199999999997,25813.0,26987.0,5247.199999999997,25880.0,26876.0,5203.199999999997,economictimeslive_nifty50_3year.csv,5188.199999999997
2024-12-26,23854.5,23653.6,25966.0,26872.0,5329.9000000000015,25860.0,26972.0,5323.9000000000015,25996.0,26827.0,5314.9000000000015,25849.0,26804.0,5144.9000000000015,25817.0,26851.0,5159.9000000000015,25971.0,26924.0,5386.9000000000015,25945.0,26961.0,5397.9000000000015,25896.0,26983.0,5370.9000000000015,25932.0,26814.0,5237.9000000000015,25978.0,26896.0,5365.9000000000015,etnow_nifty50_3year.csv,5144.9000000000015
2024-12-27,23938.85,23800.6,25840.0,26803.0,4903.550000000003,25963.0,26981.0,5204.550000000003,25995.0,26965.0,5220.550000000003,25933.0,26881.0,5074.550000000003,25848.0,26952.0,5060.550000000003,25995.0,26980.0,5235.550000000003,25825.0,26822.0,4907.550000000003,25850.0,26900.0,5010.550000000003,25955.0,26823.0,5038.550000000003,25893.0,26813.0,4966.550000000003,bloomberg_nifty50_3year.csv,4903.550000000003
2024-12-30,23915.35,23599.3,25941.0,26804.0,5230.350000000002,25935.0,26985.0,5405.350000000002,25991.0,26915.0,5391.350000000002,25999.0,26957.0,5441.350000000002,25893.0,26893.0,5271.350000000002,25997.0,26842.0,5324.350000000002,25801.0,26978.0,5264.350000000002,25834.0,26882.0,5201.350000000002,25988.0,26869.0,5342.350000000002,25834.0,26858.0,5177.350000000002,timesnowbusiness_nifty50_3year.csv,5177.350000000002
2024-12-31,23689.85,23460.45,25868.0,26836.0,5553.700000000001,25912.0,26853.0,5614.700000000001,25965.0,26946.0,5760.700000000001,25902.0,26973.0,5724.700000000001,25826.0,26964.0,5639.700000000001,25948.0,26977.0,5774.700000000001,25848.0,26871.0,5568.700000000001,25896.0,26971.0,5716.700000000001,25895.0,26956.0,5700.700000000001,25974.0,26844.0,5667.700000000001,bloomberg_nifty50_3year.csv,5553.700000000001
2025-01-01,23822.8,23562.8,25917.0,26977.0,5508.4000000000015,25850.0,26981.0,5445.4000000000015,25983.0,26906.0,5503.4000000000015,25844.0,26936.0,5394.4000000000015,25924.0,26992.0,5530.4000000000015,25958.0,26925.0,5497.4000000000015,25859.0,26885.0,5358.4000000000015,25848.0,26976.0,5438.4000000000015,25886.0,26947.0,5447.4000000000015,25998.0,26876.0,5488.4000000000015,mint_nifty50_3year.csv,5358.4000000000015
2025-01-02,24226.7,23751.55,25878.0,26948.0,4847.75,25901.0,26845.0,4767.75,25817.0,26832.0,4670.75,25838.0,26907.0,4766.75,25842.0,26991.0,4854.75,25912.0,26875.0,4808.75,25877.0,26804.0,4702.75,25894.0,26851.0,4766.75,25958.0,26922.0,4901.75,25935.0,26838.0,4794.75,economictimeslive_nifty50_3year.csv,4670.75
2025-01-03,24196.45,23976.0,25804.0,26903.0,4534.549999999999,25988.0,26856.0,4671.549999999999,25829.0,26972.0,4628.549999999999,25930.0,26905.0,4662.549999999999,25989.0,26932.0,4748.549999999999,25890.0,26967.0,4684.549999999999,25973.0,26874.0,4674.549999999999,25880.0,26856.0,4563.549999999999,25848.0,26917.0,4592.549999999999,25887.0,26987.0,4701.549999999999,bloomberg_nifty50_3year.csv,4534.549999999999
2025-01-06,24089.95,23551.9,25857.0,26813.0,5028.149999999998,25979.0,26960.0,5297.149999999998,25824.0,26800.0,4982.149999999998,25998.0,26835.0,5191.149999999998,25870.0,26972.0,5200.149999999998,25800.0,26829.0,4987.149999999998,25848.0,26990.0,5196.149999999998,25858.0,26943.0,5159.149999999998,25922.0,26937.0,5217.149999999998,25834.0,26864.0,5056.149999999998,economictimeslive_nifty50_3year.csv,4982.149999999998
2025-01-07,23795.2,23637.8,25855.0,26894.0,5316.0,25927.0,26995.0,5489.0,25830.0,26842.0,5239.0,25865.0,26932.0,5364.0,25992.0,26926.0,5485.0,25892.0,26988.0,5447.0,25891.0,26920.0,5378.0,25860.0,26972.0,5399.0,25983.0,26867.0,5417.0,25871.0,26818.0,5256.0,economictimeslive_nifty50_3year.csv,5239.0
2025-01-08,23751.85,23496.15,25990.0,26883.0,5625.0,25976.0,26961.0,5689.0,25928.0,26870.0,5550.0,25976.0,26925.0,5653.0,25988.0,26922.0,5662.0,25909.0,26910.0,5571.0,25846.0,26904.0,5502.0,25890.0,26929.0,5571.0,25842.0,26980.0,5574.0,25885.0,26988.0,5625.0,mint_nifty50_3year.csv,5502.0
2025-01-09,23689.5,23503.05,25923.0,26870.0,5600.450000000001,25839.0,26922.0,5568.450000000001,25968.0,26881.0,5656.450000000001,25895.0,26910.0,5612.450000000001,25854.0,26908.0,5569.450000000001,25887.0,26973.0,5667.450000000001,25949.0,26926.0,5682.450000000001,25991.0,26862.0,5660.450000000001,25926.0,26930.0,5663.450000000001,25881.0,26895.0,5583.450000000001,cnbc_nifty50_3year.csv,5568.450000000001
2025-01-10,23596.6,23344.35,25818.0,26992.0,5869.050000000003,25989.0,26982.0,6030.050000000003,25967.0,26821.0,5847.050000000003,25903.0,26934.0,5896.050000000003,25852.0,26922.0,5833.050000000003,25932.0,26919.0,5910.050000000003,25959.0,26850.0,5868.050000000003,25870.0,26841.0,5770.050000000003,25963.0,26873.0,5895.050000000003,25881.0,26805.0,5745.050000000003,timesnowbusiness_nifty50_3year.csv,5745.050000000003
2025-01-13,23340.95,23047.25,25855.0,26981.0,6447.799999999999,25887.0,26848.0,6346.799999999999,25923.0,26985.0,6519.799999999999,25900.0,26850.0,6361.799999999999,25849.0,26918.0,6378.799999999999,25873.0,26910.0,6394.799999999999,25870.0,26855.0,6336.799999999999,25945.0,26844.0,6400.799999999999,25845.0,26869.0,6325.799999999999,25990.0,26854.0,6455.799999999999,ndtvprofit_nifty50_3year.csv,6325.799999999999
2025-01-14,23264.95,23134.15,25819.0,26849.0,6268.899999999998,25805.0,26861.0,6266.899999999998,25825.0,26853.0,6278.899999999998,25974.0,26983.0,6557.899999999998,25806.0,26908.0,6314.899999999998,25972.0,26951.0,6523.899999999998,25985.0,26904.0,6489.899999999998,25884.0,26904.0,6388.899999999998,25829.0,26842.0,6271.899999999998,25887.0,26989.0,6476.899999999998,cnbc_nifty50_3year.csv,6266.899999999998
