Date,Best_Source,Best_Distance,Best_WithinRange
2024-11-29,timesnowbusiness_nifty50_1year.csv,4567.399999999998,False
2024-12-02,mint_nifty50_1year.csv,4324.649999999998,False
2024-12-03,ndtvprofit_nifty50_1year.csv,3920.6500000000015,False
2024-12-04,ndtvprofit_nifty50_1year.csv,3749.5,False
2024-12-05,economictimeslive_nifty50_1year.csv,3526.7000000000007,False
2024-12-06,financialexpress_nifty50_1year.csv,3265.4500000000007,False
2024-12-09,financialexpress_nifty50_1year.csv,3415.9500000000007,False
2024-12-10,timesnowbusiness_nifty50_1year.csv,3460.5499999999993,False
2024-12-11,economictimeslive_nifty50_1year.csv,3358.4000000000015,False
2024-12-12,financialexpress_nifty50_1year.csv,3399.7999999999993,False
2024-12-13,indiatodaybusiness_nifty50_1year.csv,3634.9000000000015,False
2024-12-16,bloomberg_nifty50_1year.csv,3335.0,False
2024-12-17,etnow_nifty50_1year.csv,3748.4500000000007,False
2024-12-18,bloomberg_nifty50_1year.csv,4128.700000000001,False
2024-12-19,moneycontrol_nifty50_1year.csv,4806.799999999999,False
2024-12-20,bloomberg_nifty50_1year.csv,5009.850000000002,False
2024-12-23,financialexpress_nifty50_1year.csv,5162.25,False
2024-12-24,cnbc_nifty50_1year.csv,5097.199999999997,False
2024-12-26,indiatodaybusiness_nifty50_1year.csv,5165.9000000000015,False
2024-12-27,moneycontrol_nifty50_1year.csv,4872.550000000003,False
2024-12-30,bloomberg_nifty50_1year.csv,5190.350000000002,False
2024-12-31,ndtvprofit_nifty50_1year.csv,5487.700000000001,False
2025-01-01,economictimeslive_nifty50_1year.csv,5271.4000000000015,False
2025-01-02,cnbc_nifty50_1year.csv,4648.75,False
2025-01-03,bloomberg_nifty50_1year.csv,4521.549999999999,False
2025-01-06,timesnowbusiness_nifty50_1year.csv,5024.149999999998,False
2025-01-07,bloomberg_nifty50_1year.csv,5253.0,False
2025-01-08,moneycontrol_nifty50_1year.csv,5385.0,False
2025-01-09,indiatodaybusiness_nifty50_1year.csv,5415.450000000001,False
2025-01-10,mint_nifty50_1year.csv,5689.050000000003,False
2025-01-13,moneycontrol_nifty50_1year.csv,6277.799999999999,False
